,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0,udp,private,SF,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0,0.0,0.0,normal.
1,0,udp,private,SF,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0,0.0,0.0,normal.
2,0,udp,private,SF,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0,0.0,0.0,normal.
6,0,udp,domain_u,SF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.5,1,0.0,10,3,0.3,0.3,0.3,0.0,0.0,0,0.0,0.0,normal.
7,0,udp,private,SF,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0,0.0,255,253,0.99,0.01,0.0,0.0,0.0,0,0.0,0.0,normal.
9,0,tcp,http,SF,223,185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1.0,0,0.0,71,255,1.0,0.0,0.01,0.01,0.0,0,0.0,0.0,normal.
11,0,tcp,http,SF,230,260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,1.0,0,0.11,3,255,1.0,0.0,0.33,0.07,0.33,0,0.0,0.0,normal.
12,0,udp,private,SF,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0,0.0,255,254,1.0,0.01,0.01,0.0,0.0,0,0.0,0.0,normal.
14,1,tcp,smtp,SF,3170,329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1.0,0,1.0,54,39,0.72,0.11,0.02,0.0,0.02,0,0.09,0.13,normal.
15,0,tcp,http,SF,297,13787,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.0,0,0.0,177,255,1.0,0.0,0.01,0.01,0.0,0,0.0,0.0,normal.
16,0,tcp,http,SF,291,3542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1.0,0,0.0,187,255,1.0,0.0,0.01,0.01,0.0,0,0.0,0.0,normal.
17,0,tcp,http,SF,295,753,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,22,0,0,0,0,1.0,0,0.09,196,255,1.0,0.0,0.01,0.01,0.0,0,0.0,0.0,normal.
